frame_id,point_id,x,y,z,doppler,snr,noise
91,3,-1.1698,7.7784,-0.4679,0,209,822,3963
91,4,-3.8855,7.7938,-0.5181,0,163,847,3963
91,5,0.3509,1.7285,-0.8774,-1.4275,290,562,3963
91,6,-0.4094,0.7962,-1.7547,-1.4275,290,562,3963
92,1,0.1253,1.3859,-0.2089,0,303,750,3997
92,2,-1.6043,5.7743,0.3565,0,155,790,3997
92,3,-4.6793,5.5628,-3.0415,0,211,820,3997
92,4,-1.1698,7.7784,-0.4679,0,211,820,3997
92,5,-3.6264,7.9177,-0.5181,0,164,844,3997
92,6,-3.5484,8.1171,2.4566,0,156,765,3997
93,1,0.1253,1.3859,-0.2089,0,301,752,4030
93,2,-1.4261,5.8291,0.1783,0,150,794,4030
93,3,-4.6793,5.5628,-3.0415,0,233,807,4030
93,4,-1.1698,7.789,-0.234,0,233,807,4030
93,5,-3.6264,7.8965,-0.7771,0,162,849,4030
93,6,-3.9272,7.8907,-0.2618,0,178,833,4030
93,7,0.3342,1.8045,-0.3899,-1.4275,309,541,4030
94,1,0.1253,1.3859,-0.2089,0,303,750,4063
